Theory,Author
AdS/CFT correspondence,Albert Einstein
AdS/CFT correspondence,Isaac Newton
AdS/CFT correspondence,James Clerk Maxwell
Aether (classical element),##eth
Aether (classical element),Michael E
Aether (classical element),Hobart
Aether (classical element),Allison Muri
Aether (classical element),##yx
Aether (classical element),E
Aether (classical element),N
Aether (classical element),A
Chern–Simons theory,H. Simons
Chern–Simons theory,. S. Chern
Chern–Simons theory,S   
Chern–Simons theory,R
Chern–Simons theory,J
Chern–Simons theory,Wei
Chern–Simons theory,A. Weil
Classical electromagnetism,James Clerk Maxwell
Classical electromagnetism,. T
Classical electromagnetism,T
Classical electromagnetism,Michael Faraday
Classical electromagnetism,W
Classical electromagnetism,Whittaker
Classical electromagnetism,Bruce J. Hunt
Classical electromagnetism,Paul
Classical electromagnetism,E
Classical electromagnetism,Wolfgang Pauli
Classical electromagnetism,Abraham Pais
Classical field theory,Farada
Classical field theory,Michael Faraday
Classical field theory,Lord Kelvin
Classical field theory,Newton
Classical mechanics,Taylor
Classical mechanics,Greenwood
Dynamo theory,William Gilbert
Dynamo theory,Patrick Blackett
Dynamo theory,Walter M. Elsasser
Dynamo theory,André - Marie Ampère
Dynamo theory,Joseph Larmor
Electrogravitics,Thomas Townsend Brown
Electrogravitics,Brown
Electrogravitics,Cool
Ginzburg–Landau theory,Landau
Ginzburg–Landau theory,Gin
Ginzburg–Landau theory,##burg
Kinetic theory of gases,Galileo Galile
Kinetic theory of gases,Francis Bacon
Kinetic theory of gases,Lucretius
Luminiferous aether,Robert Boyle
Luminiferous aether,##aan Huygens
Luminiferous aether,Christi
Luminiferous aether,Boyle
Luminiferous aether,Isaac Newton
Physical cosmology,Albert Einstein
Quantum chromodynamics,Murray Gell - Mann
Quantum chromodynamics,G
Quantum chromodynamics,Joyce
Quantum chromodynamics,##ell - Mann
Quantum chromodynamics,James Joyce
Quantum electrodynamics,Enrico Fermi
Quantum electrodynamics,Eugene Wigner
Quantum electrodynamics,Pascu
Quantum electrodynamics,Arnold Nordsieck
Quantum electrodynamics,##al Jordan
Quantum electrodynamics,Paul Dirac
Quantum electrodynamics,Felix Bloch
Quantum electrodynamics,Victor Weisskopf
Quantum electrodynamics,Dirac
Quantum electrodynamics,Wolfgang Pauli
Quantum electrodynamics,Werner Heisenberg
Quantum mechanics,Wign
Relativistic quantum mechanics,Sc
Relativistic quantum mechanics,K
Relativistic quantum mechanics,Schr
Relativistic quantum mechanics,Go
Relativistic quantum mechanics,##mit
Relativistic quantum mechanics,Paul
Relativistic quantum mechanics,Uh
Standard Model,Steven Weinberg
Standard Model,Sheldon Glashow
Standard Model,George Zwei
Standard Model,Oscar W. Greenberg
Standard Model,Shiung Wu
Standard Model,Chien
Standard Model,Abdus Salam
Standard Model,Di
Standard Model,Paul Dirac
Standard Model,Julian Schwinger
Standard Model,Murray Gell - Mann
Standard Model,Yang Chen
Standard Model,Ni
Standard Model,Glash
Standard Model,Lu
Standard Model,John Clive Ward
Standard Model,Robert Mills
Standard Model,John Iliopoulos
Stochastic electrodynamics,Maxwell
Stochastic electrodynamics,Timothy H
Stochastic electrodynamics,Boyer
Theory of relativity,Jacob
Theory of relativity,Sc
Theory of relativity,Dixon
Theory of relativity,Rosen
Theory of relativity,Nord
Theory of relativity,Newman
Wave–particle duality,Newton
Wave–particle duality,##aan Huygens
Wave–particle duality,Plan
Wave–particle duality,Max Planck
Wave–particle duality,Christi
Wave–particle duality,Thomas Young
Wave–particle duality,François Arago
Wave–particle duality,Huygens
Wave–particle duality,Isaac Newton
graviton,P
graviton,Wagner
graviton,##man
graviton,Randall
graviton,Fe
graviton,Hatfield
graviton,Anthony
graviton,Newton
graviton,R
graviton,B
graviton,G
graviton,L
graviton,W
graviton,Zee
graviton,Morinigo
graviton,F
interpretations of quantum mechanics,Erwin Schrödinger
interpretations of quantum mechanics,Max Born
interpretations of quantum mechanics,Schrö
interpretations of quantum mechanics,Ni
interpretations of quantum mechanics,Erwin Schröding
interpretations of quantum mechanics,##els Bo
interpretations of quantum mechanics,##er
interpretations of quantum mechanics,##els Bohr
interpretations of quantum mechanics,Werner Heisenberg
magnetic monopole,Gaus
magnetic monopole,Pierre Curie
magnetic monopole,Maxwell
protoscience,Jones
protoscience,Thomas Kuhn
pseudoscience,François Magendie
pseudoscience,James Pettit Andrews
string theory,Albert Einstein
theory of everything,Stan
theory of everything,I
theory of everything,Harald
theory of everything,Ellis
theory of everything,##jon Tich
theory of everything,Harald Fritzsch
theory of everything,Fritzsch
theory of everything,John
theory of everything,##isław Lem
theory of everything,John Ellis
