Theory,Author
AdS/CFT correspondence,Gerard
AdS/CFT correspondence,Juan Maldacena
AdS/CFT correspondence,Edward Witten
Aether (classical element),Johann
Aether (classical element),Christiaan Huygens
Aether (classical element),Maxwell
Big Bang,George Gamow
Big Bang,Friedmann
Chaos theory,Robert
Chern–Simons theory,Paul Dirac
Classical mechanics,Euler
Digital physics,Konrad Zuse
Dynamo theory,Joseph Larmor
Ginzburg–Landau theory,Landau
Ginzburg–Landau theory,Cumrun Vafa
Ginzburg–Landau theory,Vitaly Ginzburg
Perturbation theory (quantum mechanics),John Archibald
Physical cosmology,George Gamow
Quantum chromodynamics,Kenneth
Quantum electrodynamics,Albert Einstein
Quantum field theory,Kenneth Wilson
Quantum field theory,Julian Schwinger
Quantum information theory,Charles Bennett
Quantum information theory,Erwin Schr
Quantum information theory,David Deutsch
Quantum mechanics,Paul Dirac
Scattering theory,John Archibald
Standard Model,Abraham Pais
Theory of relativity,Einstein
magnetic monopole,Paul Dirac
string theory,Steven Gubser
string theory,Juan Maldacena
string theory,Tom Banks
string theory,Veneziano
string theory,John Horton
theory of everything,Democritus
