cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxK0aQ8rNIRJ24rqRV4AaABAg,"it's the way i kept putting this movie on hold for years and years. when I finally got myself to watch it I couldn't stop thinking about it afterwards. so many emotions all in one sitting, it was truly a phenomenal experience. would do it all over again.",2 years ago,@yellowrkive,UCNZ4ctI7nPOC9zbrqeL6QYw,2,https://yt3.ggpht.com/V1fQrmRQfbvcfNRjNXAhexQTVwTXJHJpC4_nE_t8Tgft-nbR0i0gxR10J7YYXY1TzrTqItBokg=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.102202
Ugwhs50K-dbYpVIKpW54AaABAg,Hans zimmer 🛐,2 years ago,@Apha17,UCzdVceOOPhEqwFKWZ8hyazA,0,https://yt3.ggpht.com/oFSWiwqBRBW0q7uhDS6n78KujG4U-tzJ93vNijH5kxMJB4GYjeirSQhSSL8rD5ST8UKduRbidsQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.103491
Ugy8NtRbd_JwpK_q6xp4AaABAg,This song represents our feeling to the space and whole universe,2 years ago,@Pppppppxx,UCBh3g4eXPRpzNxjbrxd5Lwg,6,https://yt3.ggpht.com/ytc/AIdro_mRBADDj-ngF0knunC-k6A6sDrVnCQacPZcdP_UMudZGA=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.10478
UgxQtx0O10KENcUNlG94AaABAg,"2022 , and still love it",2 years ago,@AndreiCatalinVasile,UCDC036lC9F-zVx3fHJR2Kwg,0,https://yt3.ggpht.com/bXZJ3B901tFxUwf3Mck_m-VAk5v_bNGS94QlG7ZQ4Xq4rMK3uBfZ1goWdQI5Ce5OVxlrukI5Eg=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.106068
UgzMbPR1YtlaxEYBelZ4AaABAg,ГениальнО,2 years ago,@KOTABARMOT744,UC0OSR5iH8c6P0D8NgPYi_Gw,0,https://yt3.ggpht.com/ytc/AIdro_mJ-HZsKmrWJtgUDu2lsL6JSHw4QZHnxTrN6hZslxt_b-NO01GDnLsx5PWvoqMzE8pTl_s=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.107445
UgwGYvO7rlWv_jRV67p4AaABAg,S.T.A.Y🙂♾️,2 years ago,@rushminaa3947,UC-D6LZob8F8V2vbynBHAiIw,1,https://yt3.ggpht.com/Wq7Q9nqTWDHCfpfnvu8c5K7glDnmwqbZKkVMzWmDAZ595Q20PYnYxqoGa6oAXYXKKym93dodQw=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.10887
Ugz2IUNCCPuYaRimaat4AaABAg,the best movie of all time,2 years ago,@muhammadsidat4027,UCNwnYNtK_E_vBaXGRlVyvXg,0,https://yt3.ggpht.com/ytc/AIdro_mSPa2IgTAOlwfasiqxuRYASABmvU4Deyxdy5Al_lzxk4tl=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.110176
Ugw3KK_6wL3kUSRhsMV4AaABAg,im sad to see this movie got 73 rotten tomatoes. I was speechless when i watched this movie,2 years ago,@attaboyspider3129,UCcDF1L44ObEOWZL4jyPD4Gg,0,https://yt3.ggpht.com/2XgVh1f1cbMiY4jgxe4kBCfG4wS6boqYRdfVUupG7R31tq2W6cF5y1cJ_cJkJstcblndMIBgZg=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.111566
Ugxr2LzWNHihKK85m9p4AaABAg,"Interstellar isn't just a movie, it's an emotion.",2 years ago (edited),@harsh_chauhan13,UCBbzKJKztxXMtjzHfUutdkA,804,https://yt3.ggpht.com/fsJE7WYswD2i_ub4w9qzbTYAg78xpqCIj0xNZ0ZXJfIDJlaAONqMx25awyintPiQ-sxAbAHQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.112872
Ugybed--J4mWAodLRHB4AaABAg,best movie i have ever watched,2 years ago,@humayunrajpoot8807,UCeL3oP5rRZ1EBMt1GwGWg7w,0,https://yt3.ggpht.com/YyNEnarZEq9sKfyKvcGFImLHTlw6A2WJI8wp-zNeVN199ITdLv9eCHDyULLidACj09EwkW82CQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.114152
Ugxb4JQXlaS--eg97fJ4AaABAg,<3 <3,2 years ago,@alphacentauri6343,UCVkwW0CG2kB3Za-0yOtUdAw,0,https://yt3.ggpht.com/ytc/AIdro_kN6wPl-3hMVqWwwLqaJ_3Vo2tvfc9PrZBbS86HUirwrCQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.115433
UgyjHwTYy02IjQvV0J14AaABAg,一部我最喜欢的科幻片，并不只是冰冷的物理和数学，人性和爱始终贯穿其中，我会一遍又一遍的看,2 years ago,@user-V1105,UC1xGUcZsA7OjLZPQyV_LNQA,0,https://yt3.ggpht.com/cPQSUBogj-mf8n0hM-LLe5Bihzc0QLM6mWdFZ7wkWGVILCn6Mb-xT7LtOotMlFZOHmoEAyLLVOE=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.116792
UgxXDBcc913cSbeukhV4AaABAg,"Es mi primera vez que la veo y quede sin palabras 

Llore en realidad mucho , es muy impactante todo lo que puede hacer el tiempo ,tener que vivir solos en la nada 
Solo dire que no alcanzan las palabras para lo que hacen trasmitir  
Solo sé que es la mejor película que eh visto",2 years ago,@maicolduarte2593,UCstpGLpbqhZeSyrHgheOrpg,3,https://yt3.ggpht.com/ytc/AIdro_lW9xY6KAHcvb-0oowWh7615OhEpl3qWj4FRVd_lqKhgg=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.118462
Ugzo0FjQr-4JsVdiijF4AaABAg.9i6DO1Wpexp9ijB4lOz_MI,Same here. The most beautiful one.,2 years ago,@TheManOfTomorrow,UC-jPiXGB1JbZ3PekrXorT5g,2,https://yt3.ggpht.com/ylPd3lxHkVYABNZVyljhoQQzqQ7n9WFSleQztfAhQgIzK52gsRRjeuKrCAGQxUMt7DiBQf1X=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.289764
Ugzo0FjQr-4JsVdiijF4AaABAg.9i6DO1Wpexp9iynfA14kVv,name movie,2 years ago,@fatimahamza4945,UCQFCPkFVGGkf1qJs_euSNTQ,0,https://yt3.ggpht.com/ytc/AIdro_n1YRi8i8TpTnKtMIARSi9xPLn2rKU-ONxy_O_TrQ3cSvg7zMr2VhNJEvOs1oIoKW7QLA=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.291298
Ugzo0FjQr-4JsVdiijF4AaABAg.9i6DO1Wpexp9j0xWYQ9r84, @fatimahamza4945  Interestelar.,2 years ago,@ivanrojas3946,UCW1g11Xl5-CrgeJz-_aFgzQ,0,https://yt3.ggpht.com/ytc/AIdro_maHRzNCtvJLdnCYoi6MU7E3yvrqnkbdLSnRF2HdVkbng=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.292676
Ugzo0FjQr-4JsVdiijF4AaABAg.9i6DO1Wpexp9j0xcRnpofL,I recommend it,2 years ago,@ivanrojas3946,UCW1g11Xl5-CrgeJz-_aFgzQ,0,https://yt3.ggpht.com/ytc/AIdro_maHRzNCtvJLdnCYoi6MU7E3yvrqnkbdLSnRF2HdVkbng=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.296387
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9qGu-ATIruY,"Yes. Wonder, hope, regret, anticipation, nobility.",1 year ago,@PaleRider54,UC7xv6g-EwwMDvXJEWm9z7HA,3,https://yt3.ggpht.com/4D33GWwMOUdzkeJCF0K_InAyNNiIsteRtV7gxuCuFtwL0gMhSV1n02O_LLWQLFNJQst4VxePjQ=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.509964
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9rU8m4dE0TO,"Yes, but its more a part of the knowledge, feeling and the thing itself  (or also maybe a bit wisdom) that u take from it.",1 year ago,@hansheino7430,UCjj0g9V8g48TscLa9L_Ea_Q,1,https://yt3.ggpht.com/ytc/AIdro_lutAqHTeo7yLCqvDxYV3sYKUC4r3Vre_LBHZxwPd0=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.512055
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9sDutmn4uDv,no i dont agree crap movie,1 year ago,@krishnaghimire3000,UCAKJ1nMlIGvEEp8jtbcwkhQ,0,https://yt3.ggpht.com/ytc/AIdro_k053cTG-ensFRiNd-bpsvOpHAT336d24NJASJlG2mOYg=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.513606
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9sG9cNbNKPd,it is an experience,1 year ago,@perfectstills,UCG3SOsmty1WIxzY0OJTuObQ,1,https://yt3.ggpht.com/ou7NU2s0vrpLRbEQ2nesKdwD3eQrA7RT5kqbEq-vPVMshrz9qQa6fwwPOzMYyHlvh9iYRN7V0MY=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.515085
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9sShs5-RxBT,True!,1 year ago,@Berettarap,UCOulw5j9vxKxB1YHSgsFnbg,1,https://yt3.ggpht.com/S4yA3eWpNZVOtpWdNrWjp6fRXHAydJh4MK8KC2C-tFdz02gPJ9-yXRzRP6lokYXwOjXKG3Gp0w=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.516463
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9sqKpeBbtnq,​ @krishnaghimire3000 just how,1 year ago (edited),@Suyash-ve,UCryqX_F4oAfdaGnZVPGGtIA,1,https://yt3.ggpht.com/B6ESCXVRghrNm7DLQPssJgdyHHvZkcEGBzJm-oEcdm6ZGXgwA6lvYfI7RJz_Hm0X3gU2b_56Hw=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.517841
